date	temperature	label	posterior(k=1)	posterior(k=2)	posterior(k=3)	posterior(k=4)	activation(k=1)	activation(k=2)	activation(k=3)	activation(k=4)
2002-12-31	11.3628	2	0.000000e+00	6.621301e-01	3.378699e-01	0.000000e+00	0.000000e+00	2.677461e-01	2.037381e-01	0.000000e+00
2003-01-05	15.8975	3	0.000000e+00	0.000000e+00	1.000000e+00	1.494017e-14	0.000000e+00	0.000000e+00	7.489291e-01	2.583831e-15
2003-01-10	18.4681	4	0.000000e+00	0.000000e+00	1.097195e-06	9.999989e-01	0.000000e+00	0.000000e+00	5.867172e-06	1.234846e+00
2003-01-15	18.5352	4	0.000000e+00	0.000000e+00	6.426868e-12	1.000000e+00	0.000000e+00	0.000000e+00	1.774060e-11	6.374366e-01
2003-01-20	18.5919	4	0.000000e+00	0.000000e+00	1.344575e-13	1.000000e+00	0.000000e+00	0.000000e+00	3.581669e-13	6.151321e-01
2003-01-25	18.7611	4	0.000000e+00	0.000000e+00	4.312732e-07	9.999996e-01	0.000000e+00	0.000000e+00	1.702829e-06	9.117722e-01
2003-01-30	17.5388	3	0.000000e+00	0.000000e+00	8.935779e-01	1.064221e-01	0.000000e+00	0.000000e+00	1.270329e-02	3.493683e-04
2003-02-04	17.2790	3	0.000000e+00	0.000000e+00	9.990756e-01	9.244315e-04	0.000000e+00	0.000000e+00	3.378999e-01	7.219921e-05
2003-02-09	18.1376	4	0.000000e+00	0.000000e+00	5.710385e-02	9.428961e-01	0.000000e+00	0.000000e+00	5.339948e-02	2.036120e-01
2003-02-14	18.4488	4	0.000000e+00	0.000000e+00	9.435351e-04	9.990565e-01	0.000000e+00	0.000000e+00	2.871689e-03	7.021620e-01
2003-02-19	18.1395	3	0.000000e+00	0.000000e+00	7.157968e-01	2.842032e-01	0.000000e+00	0.000000e+00	2.119044e-01	1.942885e-02
2003-02-24	17.8118	3	0.000000e+00	0.000000e+00	9.832750e-01	1.672501e-02	0.000000e+00	0.000000e+00	8.215337e-01	3.226894e-03
2003-03-01	16.7066	3	0.000000e+00	0.000000e+00	1.000000e+00	4.541305e-08	0.000000e+00	0.000000e+00	8.362085e-01	8.769266e-09
2003-03-06	16.8393	3	0.000000e+00	0.000000e+00	9.992477e-01	7.522842e-04	0.000000e+00	0.000000e+00	8.160170e-02	1.418652e-05
2003-03-11	17.3474	3	0.000000e+00	0.000000e+00	9.296391e-01	7.036094e-02	0.000000e+00	0.000000e+00	4.426803e-02	7.737051e-04
2003-03-16	18.7360	4	0.000000e+00	0.000000e+00	2.151452e-06	9.999978e-01	0.000000e+00	0.000000e+00	2.078156e-06	2.230558e-01
2003-03-21	18.6969	4	0.000000e+00	0.000000e+00	6.149040e-13	1.000000e+00	0.000000e+00	0.000000e+00	2.183854e-13	8.201330e-02
2003-03-26	18.1800	4	0.000000e+00	0.000000e+00	1.892671e-06	9.999981e-01	0.000000e+00	0.000000e+00	8.288750e-07	1.011303e-01
2003-03-31	18.2284	4	0.000000e+00	0.000000e+00	2.743000e-05	9.999726e-01	0.000000e+00	0.000000e+00	1.286898e-04	1.083364e+00
2003-04-05	18.4571	4	0.000000e+00	0.000000e+00	3.739490e-06	9.999963e-01	0.000000e+00	0.000000e+00	1.845651e-05	1.139734e+00
2003-04-10	18.6493	4	0.000000e+00	0.000000e+00	5.212421e-09	1.000000e+00	0.000000e+00	0.000000e+00	2.253830e-08	9.985039e-01
2003-04-15	18.4346	4	0.000000e+00	0.000000e+00	2.103373e-08	1.000000e+00	0.000000e+00	0.000000e+00	7.038329e-08	7.727183e-01
2003-04-20	18.4444	4	0.000000e+00	0.000000e+00	1.711292e-07	9.999998e-01	0.000000e+00	0.000000e+00	4.371094e-07	5.898396e-01
2003-04-25	18.2732	4	0.000000e+00	0.000000e+00	3.928682e-03	9.960713e-01	0.000000e+00	0.000000e+00	5.698278e-03	3.336223e-01
2003-04-30	18.0310	4	0.000000e+00	0.000000e+00	1.064639e-03	9.989354e-01	0.000000e+00	0.000000e+00	1.697829e-04	3.678722e-02
2003-05-05	18.5304	4	0.000000e+00	0.000000e+00	4.865527e-09	1.000000e+00	0.000000e+00	0.000000e+00	1.890661e-08	8.973290e-01
2003-05-10	18.6118	4	0.000000e+00	0.000000e+00	9.550500e-11	1.000000e+00	0.000000e+00	0.000000e+00	4.148499e-10	1.003074e+00
2003-05-15	18.5813	4	0.000000e+00	0.000000e+00	1.285017e-08	1.000000e+00	0.000000e+00	0.000000e+00	5.641235e-08	1.013756e+00
2003-05-20	16.0059	3	0.000000e+00	0.000000e+00	1.000000e+00	2.576698e-15	0.000000e+00	0.000000e+00	1.489629e+00	8.863592e-16
2003-05-25	10.4468	2	0.000000e+00	9.842542e-01	1.574577e-02	0.000000e+00	0.000000e+00	1.761841e+00	4.203067e-02	0.000000e+00
2003-05-30	6.9306	2	0.000000e+00	1.000000e+00	3.750826e-14	0.000000e+00	0.000000e+00	9.887363e+00	5.530322e-13	0.000000e+00
2003-06-04	10.2673	2	0.000000e+00	9.962738e-01	3.726189e-03	0.000000e+00	0.000000e+00	1.374260e+00	7.664754e-03	0.000000e+00
2003-06-09	9.1972	2	0.000000e+00	9.999958e-01	4.228499e-06	0.000000e+00	0.000000e+00	5.122539e+00	3.230103e-05	0.000000e+00
2003-06-14	8.3102	2	0.000000e+00	1.000000e+00	6.821860e-09	0.000000e+00	0.000000e+00	9.654335e+00	9.821283e-08	0.000000e+00
2003-06-19	9.2893	2	0.000000e+00	9.999851e-01	1.490701e-05	0.000000e+00	0.000000e+00	1.180743e+01	2.624795e-04	0.000000e+00
