MU1;MU2;MU3;MU4;SI1;SI2;SI3;SI4
18.721;22.715;23.545;10.217;4.860;3.530;3.519;5.563
18.704;22.678;23.545;10.034;4.821;3.499;3.504;5.156
18.668;22.661;23.529;9.996;4.813;3.460;3.499;4.918
18.569;22.548;23.529;9.756;4.720;3.389;3.515;4.494
18.469;22.415;23.482;9.341;4.617;3.278;3.497;4.016
18.372;22.246;23.470;9.008;4.448;3.107;3.464;3.589
18.113;22.028;23.426;8.699;4.170;2.942;3.409;3.216
17.840;21.749;23.290;8.293;3.859;2.668;3.314;2.813
17.512;21.503;23.134;7.899;3.592;2.413;3.204;2.500
17.135;21.212;23.080;7.621;3.344;2.131;3.009;2.246
16.720;20.964;22.866;7.444;3.089;1.913;2.823;2.017
16.372;20.742;22.658;7.352;2.750;1.719;2.625;1.839
16.038;20.532;22.340;7.450;2.531;1.494;2.390;1.675
15.653;20.315;22.086;7.585;2.343;1.280;2.143;1.542
15.242;20.102;21.689;7.804;2.182;1.062;1.940;1.420
14.867;19.936;21.210;7.748;2.072;0.874;1.679;1.295
14.532;19.791;20.724;7.471;1.972;0.711;1.427;1.209
14.076;19.656;20.267;7.096;2.002;0.558;1.229;1.099
13.540;19.525;19.743;6.720;1.972;0.425;1.015;0.982
12.793;19.407;19.320;6.344;1.982;0.327;0.892;0.848
12.026;19.286;18.941;5.985;1.976;0.263;0.889;0.725
11.224;19.182;18.532;5.655;1.921;0.220;0.978;0.612
10.375;19.076;18.130;5.343;1.831;0.198;1.142;0.490
9.510;18.951;17.554;5.073;1.688;0.193;1.373;0.376
8.640;18.787;16.791;4.857;1.547;0.205;1.670;0.257
7.816;18.549;15.798;4.707;1.391;0.237;1.946;0.175
6.979;18.207;14.568;4.599;1.249;0.273;2.167;0.123
6.148;17.668;13.061;4.532;1.068;0.384;2.251;0.128
5.378;16.712;11.386;4.500;0.826;0.565;2.120;0.133
4.817;15.137;9.767;4.480;0.535;0.719;1.869;0.125
4.496;13.179;8.238;4.450;0.271;0.716;1.676;0.112
4.379;11.279;6.729;4.411;0.118;0.689;1.404;0.098
4.335;9.257;5.476;4.356;0.076;0.666;0.898;0.090
4.316;7.298;4.765;4.289;0.065;0.564;0.452;0.084
4.283;5.923;4.489;4.216;0.055;0.401;0.217;0.078
4.234;5.210;4.377;4.138;0.051;0.301;0.113;0.077
